                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.1843,                0.71078,                 1.0539,                0.89847,                0.70324,                0.77613,                0.51166,                 1.1126,                0.58818,                 1.0112,               0.003455,               0.003455,               0.003455
                     62,                 1.1811,                0.69388,                 1.0618,                0.89699,                0.71471,                0.78154,                0.51108,                 1.1468,                0.58933,                 1.0199,              0.0033064,              0.0033064,              0.0033064
                     63,                 1.1776,                0.68952,                 1.0398,                0.89378,                0.70848,                0.78012,                0.50919,                 1.1132,                0.58826,                 1.0095,              0.0031594,              0.0031594,              0.0031594
                     64,                   1.18,                 0.6967,                 1.0468,                0.91119,                0.70914,                 0.7847,                0.51046,                 1.1226,                0.57755,                 1.0099,              0.0030143,              0.0030143,              0.0030143
                     65,                 1.1733,                0.68787,                 1.0468,                 0.8915,                0.72133,                0.78425,                0.50862,                 1.1373,                0.57816,                 1.0146,              0.0028712,              0.0028712,              0.0028712
                     66,                 1.1724,                0.67104,                 1.0399,                0.90143,                0.70899,                0.78719,                0.51553,                 1.1186,                0.57003,                 1.0083,              0.0027301,              0.0027301,              0.0027301
                     67,                 1.1727,                0.67028,                 1.0435,                0.90361,                0.72238,                0.79154,                0.52809,                 1.0979,                 0.5677,                 1.0053,              0.0025913,              0.0025913,              0.0025913
                     68,                 1.1656,                0.67942,                 1.0477,                0.90595,                0.71706,                0.78859,                0.52411,                 1.0927,                0.56128,                 1.0023,              0.0024549,              0.0024549,              0.0024549
                     69,                 1.1645,                0.66431,                 1.0354,                0.91689,                0.71615,                0.79099,                0.52372,                  1.113,                0.56315,                 1.0093,              0.0023209,              0.0023209,              0.0023209
                     70,                 1.1588,                0.65848,                 1.0396,                0.91703,                0.71626,                0.79161,                 0.5279,                 1.0964,                0.55707,                 1.0049,              0.0021897,              0.0021897,              0.0021897
                     71,                 1.1493,                0.65282,                 1.0331,                0.91093,                0.71902,                0.79016,                0.52773,                 1.0908,                0.55629,                 1.0051,              0.0020612,              0.0020612,              0.0020612
                     72,                 1.1567,                0.65157,                 1.0454,                0.90788,                0.72286,                0.79304,                0.52936,                 1.0909,                0.55429,                 1.0032,              0.0019355,              0.0019355,              0.0019355
                     73,                 1.1481,                0.64931,                 1.0335,                0.91603,                0.71572,                0.79211,                0.52343,                 1.1097,                0.55902,                  1.008,               0.001813,               0.001813,               0.001813
                     74,                 1.1305,                0.62962,                 1.0329,                0.91081,                0.72601,                0.79585,                0.53236,                 1.0782,                 0.5392,                0.99692,              0.0016935,              0.0016935,              0.0016935
                     75,                 1.1427,                0.64399,                 1.0297,                0.91656,                0.72136,                 0.7939,                0.52703,                 1.0923,                0.54885,                      1,              0.0015773,              0.0015773,              0.0015773
                     76,                 1.1381,                 0.6352,                 1.0312,                0.91993,                0.72227,                0.79628,                0.52992,                  1.095,                0.54432,                 1.0005,              0.0014646,              0.0014646,              0.0014646
                     77,                 1.1268,                0.62922,                 1.0268,                0.90512,                0.73121,                0.79674,                0.53103,                  1.086,                0.54184,                0.99943,              0.0013552,              0.0013552,              0.0013552
                     78,                 1.1324,                0.62475,                 1.0333,                0.91343,                0.73326,                0.79814,                0.53494,                 1.0731,                0.53182,                0.99228,              0.0012495,              0.0012495,              0.0012495
                     79,                 1.1237,                0.61563,                 1.0242,                0.91321,                0.73175,                0.80012,                0.53925,                 1.0659,                0.52961,                0.99273,              0.0011475,              0.0011475,              0.0011475
                     80,                 1.1346,                0.61951,                 1.0246,                0.90816,                0.73689,                0.80043,                0.53819,                 1.0588,                0.52833,                0.98982,              0.0010493,              0.0010493,              0.0010493
                     81,                 1.1144,                0.61825,                 1.0189,                 0.9143,                0.73298,                0.79793,                0.53465,                 1.0703,                0.52887,                0.99254,             0.00095501,             0.00095501,             0.00095501
                     82,                 1.1076,                0.61615,                 1.0245,                 0.9196,                0.73162,                0.80104,                0.53816,                 1.0742,                 0.5291,                0.99743,             0.00086469,             0.00086469,             0.00086469
                     83,                 1.1223,                0.61177,                 1.0244,                0.91942,                0.73499,                0.80155,                0.54022,                 1.0627,                0.52542,                0.98929,             0.00077845,             0.00077845,             0.00077845
                     84,                 1.1005,                0.60185,                 1.0197,                0.91399,                 0.7332,                0.80217,                0.54104,                  1.064,                0.52189,                0.99088,             0.00069638,             0.00069638,             0.00069638
                     85,                  1.112,                0.60586,                 1.0251,                0.92004,                0.73462,                0.80283,                0.53825,                 1.0747,                0.52509,                0.99449,             0.00061856,             0.00061856,             0.00061856
                     86,                    1.1,                0.59862,                 1.0176,                0.91977,                0.73205,                0.80288,                0.53845,                 1.0678,                0.52168,                0.99233,             0.00054506,             0.00054506,             0.00054506
                     87,                 1.0842,                0.58326,                 1.0093,                0.91945,                0.73582,                0.80493,                0.54103,                 1.0709,                0.52025,                0.99329,             0.00047596,             0.00047596,             0.00047596
                     88,                 1.1098,                0.60616,                 1.0164,                0.91641,                0.73736,                0.80374,                0.54201,                 1.0627,                0.51837,                 0.9909,             0.00041132,             0.00041132,             0.00041132
                     89,                 1.0924,                0.59408,                 1.0219,                0.91531,                0.73907,                0.80396,                0.54088,                 1.0673,                0.51864,                0.99116,             0.00035121,             0.00035121,             0.00035121
                     90,                 1.0874,                0.58352,                 1.0118,                0.92311,                0.73454,                 0.8044,                0.54102,                  1.065,                  0.517,                0.98892,             0.00029569,             0.00029569,             0.00029569
                     91,                  1.087,                0.56113,                  1.008,                0.91836,                0.73676,                 0.8046,                0.54272,                   1.06,                0.51426,                0.98872,             0.00024481,             0.00024481,             0.00024481
                     92,                 1.0777,                0.56359,                 1.0089,                0.91663,                0.73938,                0.80592,                0.54432,                 1.0584,                0.51398,                0.98826,             0.00019863,             0.00019863,             0.00019863
                     93,                  1.073,                0.55149,                 1.0068,                 0.9162,                0.74214,                0.80707,                 0.5456,                 1.0596,                 0.5123,                0.98872,             0.00015718,             0.00015718,             0.00015718
                     94,                 1.0759,                0.55618,                 1.0047,                0.90998,                0.74644,                0.80727,                0.54523,                 1.0643,                0.51241,                0.98928,             0.00012051,             0.00012051,             0.00012051
                     95,                 1.0737,                0.55174,                 1.0047,                 0.9143,                0.74343,                0.80731,                0.54708,                 1.0533,                0.50968,                 0.9862,             8.8663e-05,             8.8663e-05,             8.8663e-05
                     96,                 1.0715,                0.55421,                 1.0047,                0.91433,                0.74388,                0.80758,                0.54618,                 1.0548,                 0.5098,                0.98689,             6.1658e-05,             6.1658e-05,             6.1658e-05
                     97,                 1.0689,                0.55142,                 1.0042,                0.91531,                0.74393,                0.80764,                 0.5468,                 1.0556,                0.51005,                0.98815,             3.9526e-05,             3.9526e-05,             3.9526e-05
                     98,                 1.0751,                0.55164,                 1.0049,                0.91317,                0.74423,                0.80778,                0.54692,                 1.0537,                0.50926,                0.98727,              2.229e-05,              2.229e-05,              2.229e-05
                     99,                 1.0704,                0.55083,                 1.0065,                0.91235,                0.74489,                0.80786,                0.54655,                 1.0552,                0.50931,                0.98746,             9.9663e-06,             9.9663e-06,             9.9663e-06
                    100,                 1.0765,                0.54922,                  1.006,                0.91247,                0.74532,                0.80797,                0.54661,                 1.0546,                0.50941,                0.98705,             2.5672e-06,             2.5672e-06,             2.5672e-06
